1password-beta 8.12.30_19.BETA-19.1
gnupg 2.4.9-2
gnutls 3.8.13-2
gobject-introspection 1.86.0-2
gobject-introspection-runtime 1.86.0-2
gperf 3.3-2
gperftools 2.18.1-1
gpgme 2.1.2-1
gpgmepp 2.1.0-1
gpm 1.20.7.r38.ge82d1a6-6
gpsd 3.27.5-1
gptfdisk 1.0.10-2
gpu-screen-recorder 5.15.1-1
graphene 1.10.8-2
graphite 1:1.3.15-1
grep 3.12-2
grim 1.5.0-2
groff 1.24.1-1
gsettings-desktop-schemas 50.1-1
gsettings-system-schemas 50.1-1
gsfonts 20200910-6
gsl 2.8-1
gsm 1.0.24-1
gspell 1.14.4-1
gssdp 1.6.6-1
gst-libav 1.28.5-2
gst-plugin-gtk 1.28.5-2
gst-plugin-pipewire 1:1.6.8-1
gst-plugins-bad 1.28.5-2
gst-plugins-bad-libs 1.28.5-2
gst-plugins-base 1.28.5-2
gst-plugins-base-libs 1.28.5-2
gst-plugins-good 1.28.5-2
gstreamer 1.28.5-2
gtest 1.17.0-2
gtk-doc 1.36.1-1
gtk-layer-shell 0.10.1-1
gtk-update-icon-cache 1:4.22.4-1
gtk2 2.24.33-5
gtk3 1:3.24.52-1
gtk4 1:4.22.4-1
gtk4-layer-shell 1.3.0-1
gtkmm3 3.24.11-1
gtksourceview4 4.8.4-2
gtksourceview5 5.20.0-1
guile 3.0.11-1
gum 0.17.0-1
gumbo-parser 0.13.2-1
gupnp 1:1.6.10-1
gupnp-dlna 0.12.0-5
gupnp-igd 1.6.0-2
gvfs 1.60.1-1
gvfs-mtp 1.60.1-1
gvfs-nfs 1.60.1-1
gvfs-smb 1.60.1-1
gzip 1.14-2
harfbuzz 14.2.1-1
harfbuzz-icu 14.2.1-1
haskell-aeson 2.2.2.0-29
haskell-aeson-pretty 0.8.11-13
haskell-ansi-terminal 1.1-86
haskell-ansi-terminal-types 1.1-87
haskell-appar 0.1.8-16
haskell-asn1-encoding 0.9.6-374
